Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre
Calvin Boze and His All Stars,Safronia B,34,0.539,0.483,8,-9.085,1,0.0573,0.8,0.0341,0.314,0.864,167.484,144307,4,blues
The Jeff Healey Band,Stop Breakin' Down - Live,27,0.372,0.767,7,-8.692,1,0.12,0.00207,0.000432,0.982,0.417,119.249,410960,4,blues
The Hentchmen,Michigan Blues,9,0.414,0.871,0,-9.63,1,0.0328,0.0584,0.177,0.0732,0.862,148.588,130000,4,blues
Skip James,Devil Got My Woman,43,0.508,0.151,2,-14.984,1,0.0324,0.986,0.0465,0.172,0.523,85.128,181787,4,blues
Steve Howell,Kansas City Blues,42,0.584,0.276,11,-12.256,0,0.0481,0.913,0.000562,0.113,0.398,79.576,187544,4,blues
Eric Clapton,Let It Rain,53,0.442,0.616,2,-11.417,1,0.0294,0.111,0.00321,0.0993,0.746,122.267,301267,4,blues
Seasick Steve,Sun on My Face,44,0.44,0.184,4,-13.965,1,0.0612,0.863,1.56e-05,0.0932,0.261,182.017,245933,3,blues
Kid Bailey,Rowdy Blues,28,0.589,0.116,0,-17.218,1,0.0463,0.994,0.0419,0.122,0.577,97.815,180976,3,blues
Cedric Burnside,We Made It,45,0.725,0.746,2,-7.785,1,0.0292,0.0223,0.0357,0.293,0.819,107.205,214613,4,blues
Robert Petway,Catfish Blues,36,0.596,0.308,1,-17.814,1,0.0495,0.977,0.0106,0.108,0.834,183.398,174472,4,blues
Amythyst Kiah,Black Myself,53,0.553,0.828,9,-4.091,1,0.0609,0.11,0.0,0.2,0.902,152.638,201194,4,blues
Bonnie Raitt,Three Time Loser,17,0.423,0.901,11,-4.209,1,0.085,0.251,0.104,0.28,0.863,122.524,199200,4,blues
The Bones of J.R. Jones,The Heat,48,0.588,0.841,2,-4.374,1,0.0802,0.144,0.000511,0.0369,0.682,92.992,194332,4,blues
Jonny P,Good To You,54,0.789,0.38,1,-10.662,1,0.0362,0.358,0.0207,0.0928,0.702,92.028,158855,4,blues
Snooky Pryor,Work With Me Annie,34,0.66,0.696,9,-7.096,1,0.0367,0.448,0.00194,0.0621,0.598,110.016,258400,4,blues
Son House,Downhearted Blues,26,0.601,0.079,9,-16.254,1,0.182,0.868,0.0002,0.114,0.315,64.176,363227,4,blues
Buddy Guy,Damn Right I've Got The Blues - Live,31,0.348,0.587,9,-10.04,0,0.12,0.0209,0.0818,0.486,0.557,102.043,461533,4,blues
Bettye LaVette,Romance In The Dark,40,0.74,0.419,8,-7.859,1,0.0507,0.76,0.000514,0.118,0.684,137.671,258547,4,blues
Corey Harris,Keep Your Lamp Trimmed And Burning,36,0.646,0.0443,4,-20.977,1,0.0415,0.979,0.000179,0.107,0.333,134.257,174533,4,blues
Big Joe Turner,"S.K. Blues, Pt. 1",33,0.619,0.268,10,-9.96,1,0.0772,0.987,0.00193,0.306,0.61,87.213,181307,4,blues
Albert Collins,"Honey, Hush aka Talking Woman Blues",47,0.862,0.707,0,-6.742,1,0.0324,0.0947,0.00665,0.124,0.863,122.21,268160,4,blues
Samantha Fish,Dirty,30,0.608,0.458,8,-9.11,1,0.0456,0.783,0.0485,0.125,0.3,156.088,207307,4,blues
Shemekia Copeland,Uncivil War,40,0.612,0.487,10,-6.881,1,0.0326,0.761,0.0,0.116,0.398,122.991,285990,3,blues
Mississippi Fred McDowell,Going Down to the River,30,0.451,0.438,4,-7.193,1,0.0421,0.794,4.55e-05,0.0696,0.565,87.646,271120,4,blues
Roomful Of Blues,Lower On Your List Of Priorities,27,0.565,0.928,0,-4.02,1,0.0544,0.254,2.7e-06,0.295,0.91,146.401,200227,4,blues
Johnny Adams,Reconsider Me,29,0.441,0.49,5,-11.249,1,0.0447,0.642,0.000456,0.417,0.556,107.735,235431,1,blues
The Chords,Sh-Boom - Single Version,47,0.667,0.467,5,-8.991,1,0.0499,0.851,0.0,0.272,0.905,136.676,144320,4,blues
Charley Patton,Devil Sent The Rain Blues,29,0.485,0.166,7,-15.223,1,0.0406,0.971,0.813,0.257,0.336,182.901,185360,4,blues
Johnny Copeland,Rolling With The Punches,35,0.73,0.799,8,-8.254,1,0.0258,0.0742,0.01,0.176,0.884,99.785,394333,4,blues
Eden Brent,Better This Way,30,0.487,0.248,10,-9.562,1,0.0263,0.716,0.00291,0.132,0.211,83.339,250947,3,blues
Angel Snow,Something’s Got a Hold on Me,34,0.74,0.333,4,-11.64,0,0.0274,0.00253,0.0507,0.282,0.266,110.046,188157,4,blues
Parker Millsap,Hades Pleads,48,0.568,0.632,9,-6.958,1,0.161,0.0245,0.000246,0.401,0.711,164.823,156107,4,blues
Detroit Gary Wiggins,Cobb's Blues,5,0.607,0.788,7,-3.722,0,0.0951,0.488,0.459,0.716,0.752,131.397,308453,4,blues
TORA,Cry for Me,32,0.703,0.313,9,-9.755,0,0.0484,0.667,0.00114,0.131,0.547,101.036,180583,5,blues
Songhoy Blues,Soubour,43,0.62,0.875,11,-5.957,0,0.0256,0.0159,0.374,0.344,0.903,101.872,212307,4,blues
Corey Harris,Station Blues,7,0.686,0.452,1,-13.339,1,0.0914,0.54,0.222,0.059,0.833,106.944,209467,4,blues
Coco Montoya,I Want To Shout About It,15,0.608,0.822,7,-5.039,1,0.0792,0.0757,0.0588,0.318,0.51,136.974,219413,4,blues
Tony Spinner,The Answer,40,0.676,0.648,6,-6.456,1,0.0294,0.00703,0.00137,0.113,0.889,115.964,302640,4,blues
Piers Faccini,Bring Down The Wall,28,0.454,0.387,2,-10.159,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,205533,4,blues
Samba Touré,Gandadiko,17,0.41,0.447,2,-9.028,1,0.0594,0.865,0.168,0.108,0.725,207.469,264933,4,blues
The Suitcase Junket,Black Holes and Overdoses,25,0.567,0.793,5,-7.004,1,0.0368,0.324,5.27e-06,0.0742,0.441,114.972,193008,4,blues
Danny Vera,Pressure Makes Diamonds,38,0.376,0.472,1,-7.54,1,0.0307,0.0417,0.0299,0.196,0.491,168.666,209775,3,blues
Lonnie Mack,Camp Washington Chile/If You Have To Know,38,0.365,0.732,10,-11.272,1,0.0332,0.0232,0.56,0.969,0.788,124.177,454000,4,blues
The Stone Foxes,I Know Who You Are,31,0.492,0.664,11,-8.116,1,0.0679,0.00584,0.329,0.101,0.35,154.919,191904,4,blues
Stevie Ray Vaughan,Texas Flood,59,0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,320907,3,blues
Shemekia Copeland,Love Song,21,0.747,0.58,11,-5.763,1,0.0275,0.159,5.54e-06,0.131,0.796,122.951,183857,3,blues
Dirtwire,Rain Gonna Fall,32,0.518,0.449,7,-11.318,1,0.0376,0.118,0.0295,0.216,0.394,119.947,230000,4,blues
Jesse Cook,I Put A Spell On You,34,0.42,0.373,1,-9.302,0,0.032,0.922,0.0376,0.101,0.322,174.311,178651,3,blues
Roy Buchanan,John's Blues,31,0.576,0.327,7,-15.424,1,0.0461,0.255,0.77,0.409,0.543,83.367,306000,3,blues
Long John Hunter,Crazy Love,30,0.47,0.401,5,-12.476,1,0.0355,0.297,0.00594,0.174,0.407,188.037,341933,3,blues
North Mississippi Allstars,Katrina,31,0.596,0.14,0,-13.349,1,0.0273,0.851,0.00198,0.0948,0.431,80.955,301320,4,blues
Rick Estrin & The Nightcats,Looking For A Woman,15,0.874,0.649,0,-6.352,0,0.0331,0.326,0.0028,0.0884,0.968,108.009,321080,4,blues
Harmonica Shah,Who's the Fool,16,0.527,0.657,6,-6.333,0,0.196,0.321,0.000152,0.591,0.556,124.075,337247,4,blues
Eric Bibb,Whole World's Got The Blues (feat. Eric Gales),41,0.636,0.495,0,-9.428,1,0.0395,0.0456,0.0823,0.106,0.536,108.23,333989,3,blues
Los Lobos,Chains Of Love,17,0.464,0.528,2,-8.528,1,0.0347,0.00119,0.000363,0.117,0.518,186.71,313627,3,blues
Dr. John,Mama Roux,42,0.84,0.393,5,-15.199,1,0.0405,0.557,2.9e-06,0.102,0.809,128.234,180600,4,blues
